model_number,star_age,star_mass,log_L,log_Teff,log_R,he_core_mass,c_core_mass,o_core_mass,si_core_mass,fe_core_mass,center_h1,center_he4
190.0,2727.9449933268397,25.0,4.774241086210847,3.766619643225584,2.377140093106884,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.2799702023647489
200.0,2911.888185469228,25.0,4.7877457338697536,3.8022612054595686,2.3126092924683666,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.2799702023647489
210.0,3194.0401339210966,25.0,4.77863587945429,3.8532514479844497,2.206073880210872,0.0,0.0,0.0,0.0,0.0,0.7,0.27997020236474884
220.0,3663.480709968985,25.0,4.748053887437264,3.918182866182052,2.0609200478071545,0.0,0.0,0.0,0.0,0.0,0.6999999999999996,0.27997020236474884
230.0,4229.201233304461,25.0,4.715511253259074,3.972795049941556,1.935424363199049,0.0,0.0,0.0,0.0,0.0,0.6999999999999968,0.27997020236474884
240.0,4873.167118901534,25.0,4.697377456203761,4.016830123488877,1.838287317576753,0.0,0.0,0.0,0.0,0.0,0.6999999999999815,0.2799702023647488
250.0,5653.20796469323,25.0,4.7101048477569645,4.059383566483692,1.759544127363727,0.0,0.0,0.0,0.0,0.0,0.6999999999998961,0.2799702023647488
260.0,6451.526964544421,25.0,4.750891161332384,4.098990762446676,1.7007228922254658,0.0,0.0,0.0,0.0,0.0,0.6999999999995283,0.2799702023647488
270.0,7366.2405809562515,25.0,4.811610124594193,4.142795866948527,1.6434721648526711,0.0,0.0,0.0,0.0,0.0,0.699999999997741,0.27997020236474884
280.0,8283.02834481851,25.0,4.8716838977984365,4.185815489307633,1.5874698067365758,0.0,0.0,0.0,0.0,0.0,0.6999999999905402,0.2799702023647514
290.0,9306.922304947275,25.0,4.927463677426205,4.232702725607825,1.5215852239500791,0.0,0.0,0.0,0.0,0.0,0.699999999958849,0.2799702023649009
300.0,10391.982644049283,25.0,4.970355979267245,4.280289924061419,1.4478569779634094,0.0,0.0,0.0,0.0,0.0,0.6999999998271099,0.27997020237116105
310.0,11661.691940794111,25.0,5.002385779424788,4.331862114896558,1.3607274963719045,0.0,0.0,0.0,0.0,0.0,0.6999999987920981,0.27997020264942823
320.0,13043.595487923732,25.0,5.021804012969983,4.381972875651456,1.270215091634705,0.0,0.0,0.0,0.0,0.0,0.6999999738751332,0.2799702112230485
330.0,14690.92884369965,25.0,5.031348124077971,4.433354965265159,1.1722229679612954,0.0,0.0,0.0,0.0,0.0,0.6999989993011425,0.2799704607925791
340.0,16695.931483000386,25.0,5.030925373567196,4.484316732893799,1.0700880574486271,0.0,0.0,0.0,0.0,0.0,0.6999623624204239,0.279975781918866
350.0,20853.90620642551,25.0,4.9762486815274265,4.5372285828258745,0.9369260115645912,0.0,0.0,0.0,0.0,0.0,0.6997899167928828,0.27998771418078755
352.0,22796.12753354855,25.0,4.937889469238429,4.542260448026672,0.9076826750184968,0.0,0.0,0.0,0.0,0.0,0.6996983949484173,0.27999482887664645
473.0,7090812.371523588,25.0,5.370134815041248,3.618790345193849,2.9707455535855534,9.447309648556946,6.6306067245200735,6.636038670846991,0.0,0.0,0.0,2.8083223872996684e-16
474.0,7091016.9347856715,25.0,5.366688955831355,3.6208736939157142,2.964855926536876,9.447158467002588,6.630606724520158,6.636038670847076,0.0,0.0,0.0,3.4619338409323816e-16
480.0,7092298.096793356,25.0,5.377652608071322,3.633481991815645,2.9451211568569966,9.43949396186628,6.630831185112197,6.636038670847094,0.0,0.0,0.0,1.1995421959611012e-15
490.0,7094592.483266175,25.0,5.379942176982636,3.62980271654881,2.9536244918463246,9.323788504268931,6.631908595953928,6.636308023557546,0.0,0.0,0.0,7.418147190413932e-15
500.0,7096254.308015776,25.0,5.397564065163468,3.620333369649708,2.9813741297349448,9.173904032955157,6.634602123058191,6.636667160504789,0.0,0.0,0.0,4.868956646036619e-14
510.0,7096702.66084079,25.0,5.420995980384791,3.6266550976406338,2.980446631363754,9.08977755946506,6.637654787109745,6.637654787109745,0.0,0.0,0.0,1.145964248279902e-13
520.0,7097052.712926304,25.0,5.431611647541133,3.6459391481663217,2.9471863638905513,9.082828046481866,6.6564695727343475,6.637744571346603,0.0,0.0,0.0,4.4230461218208676e-13
530.0,7097159.250823034,25.0,5.4388200694233655,3.658081074616584,2.926506721931141,9.082824822696267,6.6706754342027486,6.637355320212,0.0,0.0,0.0,2.009026429501173e-12
540.0,7097183.894489327,25.0,5.439284978629925,3.6607963272301722,2.9213086713072447,9.082823879551917,6.679454337357411,6.637744571346662,0.0,0.0,0.0,4.11766060509403e-13
550.0,7097193.629788078,25.0,5.436729521640816,3.661059037485437,2.919505522302162,9.082823499335863,6.643939683686487,6.6373854343994605,0.0,0.0,0.0,6.896989602062792e-14
560.0,7097195.941817246,25.0,5.435088457468068,3.660875845858587,2.919051373469485,9.082823413301696,6.620853911797116,6.624838087305492,0.0,0.0,0.0,5.0872777390882595e-15
570.0,7097196.454476152,25.0,5.4357873658872755,3.6610525871571977,2.919047345081869,9.082823393438296,6.611190883310609,6.615489303647813,0.0,0.0,0.0,1.0160152039835159e-13
580.0,7097196.564737146,25.0,5.436339984795977,3.6611791217700063,2.9190705853106027,9.082823388710876,6.609591601592468,6.612722826851171,0.0,0.0,0.0,2.676198640855706e-12
590.0,7097196.622987184,25.0,5.4366135941224085,3.661239107952044,2.9190874176097417,9.08282338613304,6.606848272294392,6.610693913531136,0.0,0.0,0.0,1.483467337603983e-11
