radius,mass,logT,logRho,logP,logL,mu,log_opacity,eps_nuc,h1,he4,c12,o16,gradr,grada,mixing_type
2.663904474046251,15.369717876409355,7.211342887655389,-0.23721015668145468,15.157773822580657,4.860505354898321,0.6199250168257324,-0.42682253235911405,1.9768762005168765,0.699999969153369,0.27997021319227877,0.00344143764046578,0.009360449261280606,0.27656825069327046,0.3164484068139788,0.0
2.6769865258209946,15.483017045715096,7.208716200911313,-0.24393913713003368,15.148276369632178,4.861416397073258,0.619925015118428,-0.4263672248411555,1.7622947203393682,0.6999999722267355,0.2799702120578678,0.003441457103984395,0.00936044926376324,0.2760384215645942,0.3165576260160655,0.0
2.6900306169550614,15.595337671083591,7.20609196064604,-0.2506828328754485,15.138769552179037,4.862330431304981,0.6199250135973474,-0.42593024239658345,1.5713202793610372,0.6999999749669685,0.2799702110406956,0.0034414743615057844,0.00936044926591592,0.2755195624208046,0.3166649497509852,0.0
2.7030374699528843,15.706681342213505,7.203470082142835,-0.2574410453003207,15.129253405599624,4.8632466917270305,0.6199250122417547,-0.42551261233491533,1.4013546924971547,0.6999999774111282,0.2799702101288168,0.0034414896600506143,0.009360449267782064,0.27501008600912535,0.31677044133184606,0.0
2.7160077865624275,15.817049814426058,7.200850495843433,-0.2642136331888216,15.119727966731588,4.864164457645208,0.6199250110332214,-0.4251153642412027,1.2500851590884794,0.6999999795921442,0.27997020931148736,0.0034415032192877774,0.009360449269399421,0.2745084591614585,0.31687412763965944,0.0
2.728942250058571,15.926445003772756,7.198233146840428,-0.27100051128625674,15.11019327369023,4.865083043777495,0.6199250099553741,-0.424739418967508,1.1154528736443527,0.6999999815392755,0.27997020857904326,0.0034415152345415303,0.009360449270800833,0.2740135961365643,0.31697599558554534,0.0
2.741841527080492,16.034868982059752,7.19561799065759,-0.27780163819765846,15.100649365848085,4.866001791701689,0.6199250089936618,-0.4243844524104901,0.9956250042273036,0.6999999832785175,0.2799702079227931,0.0034415258794690353,0.00936044927201482,0.2735250704634243,0.31707598546660754,0.0
2.754706268432001,16.142323975431395,7.193004986951689,-0.28461696910896195,15.091096283689803,4.866920066941222,0.6199250081351582,-0.4240493606995742,0.8889698399308243,0.6999999848329637,0.27997020733492345,0.003441535308440725,0.009360449273066198,0.27304272742401986,0.31717402327579614,0.0
2.7675371084346567,16.248812356493794,7.190394096925576,-0.2914464337009624,15.081534068801828,4.867837260057193,0.6199250073683787,-0.4237330349131133,0.7940347878721812,0.699999986223129,0.2799702068084088,0.003441543658657283,0.009360449273976532,0.27256643972622524,0.3172700419114164,0.0
2.7803346686405384,16.35433667291896,7.187785282697289,-0.2982899355151359,15.071962762489084,4.868752789445964,0.6199250066831231,-0.4234343729082486,0.7095268021471419,0.6999999874672339,0.2799702063369348,0.0034415510520358723,0.009360449274764536,0.272096105173834,0.31736398606352495,0.0
2.7930995550870428,16.458899621799752,7.1851785068904634,-0.305147353804,15.062382405148009,4.869666104164798,0.6199250060703312,-0.42315227913032344,0.6342949485193768,0.6999999885814604,0.2799702059148275,0.0034415575968912053,0.009360449275446511,0.27163164859317984,0.31745581785259946,0.0
2.805832359199708,16.562504053423897,7.1825737325111225,-0.3120185477504896,15.052793036731124,4.870576686861857,0.6199250055219571,-0.42288566476279904,0.5673148727925994,0.6999999895801788,0.27997020553698826,0.003441563389431826,0.009360449276036546,0.27117302338593385,0.31754552350445175,0.0
2.818533657694305,16.665152964901328,7.1799709225713695,-0.31890336476040315,15.043194696356164,4.8714840532470856,0.6199250050308572,-0.42263344818798637,0.5076749502114141,0.6999999904761484,0.2799702051988383,0.0034415685150955377,0.009360449276546931,0.27072021123339834,0.31763312115010794,0.0
2.8312040126038465,16.766849495299827,7.177370039822308,-0.3258016392451526,15.033587422305628,4.872387749512185,0.6199250045906888,-0.4223945545502268,0.4545639594379415,0.6999999912806973,0.2799702048962652,0.003441573049739034,0.009360449276988297,0.270273221376154,0.31771867785585056,0.0
2.8438439707440986,16.867596920948852,7.174771046473467,-0.3327131732645709,15.023971251956198,4.873287353873,0.6199250041958206,-0.42216791350504734,0.40726011201009443,0.6999999920038825,0.2799702046255764,0.003441577060698218,0.009360449277369905,0.26983210017273856,0.31780233010814063,0.0
2.8563943290384457,16.9669275733787,7.17218002257553,-0.3396212630996591,15.014369082079387,4.874178239747942,0.6199250038417692,-0.42195294050536175,0.36521506635900636,0.6999999926536867,0.27997020438380177,0.0034415806026278596,0.009360449277699261,0.2693989313211882,0.3178840570903639,0.0
2.869034814022877,17.066258225808554,7.169584762495154,-0.34655894447920826,15.004735195389406,4.875072747103646,0.6199250035228848,-0.42174765132835285,0.32766029650754697,0.6999999932402547,0.279970204167142,0.0034415837408925303,0.009360449277984517,0.26896858623885794,0.3179643065422145,0.0
2.8752992320806823,17.115218766905365,7.16763175099246,-0.3517757717127335,14.997488967006282,4.875514866344966,0.619925003304565,-0.42159758159796823,0.30211554321796663,0.6999999936426812,0.2799702040196262,0.003441585856134085,0.009360449278172926,0.2687571831838886,0.31802518372076805,0.0
2.8815865184771927,17.164179308002172,7.166335402667675,-0.355254130034829,14.99266542825294,4.875957765012259,0.6199250031684931,-0.4215015731877685,0.28632764327740956,0.6999999938938857,0.27997020392809696,0.003441587159257877,0.00936044927828734,0.2685454333659624,0.31806420057135903,0.0
2.8940497685507087,17.260700275036168,7.164399381795699,-0.36047169272750956,14.985441650548172,4.876833118386077,0.6199250029777309,-0.4213632055749524,0.26435702865580285,0.6999999942466256,0.27997020380044796,0.0034415889635128986,0.009360449278443468,0.26812973605257057,0.3181204384617328,0.0
2.906605802921224,17.357221242070157,7.161809304859876,-0.36744736878782364,14.975781490932722,4.8777111297167295,0.6199250027448858,-0.4211821147435151,0.2377550614605336,0.6999999946781552,0.2799702036458742,0.0034415911271530536,0.009360449278627074,0.26771730363468216,0.318196277190441,0.0
2.9190134342452967,17.451888646009575,7.159220771468351,-0.3744349622283389,14.966112978504327,4.878574623986431,0.6199250025345072,-0.4210069537842899,0.2140272138034424,0.6999999950691316,0.2799702035076873,0.003441593039070294,0.00936044927878557,0.26731538739272,0.31827070776346844,0.0
