frequency,magnetic_field,rho,total_power,TE11_power
18350869450.59195,1.5,0.002755909060918178,1.852001043150448e-13,5.40379685734393e-15
18290257924.86322,1.5,0.003207836300768755,1.913185014997591e-13,4.709180582169438e-15
18461309431.8377,1.5,0.00170233938505001,1.742891049680411e-13,6.845884877815199e-15
18580541270.40083,1.5,0.0007290676532586213,1.530246889732797e-13,7.660433284397371e-15
19022481008.92113,1.5,0.003399765046802451,1.349704085805102e-13,4.178859825818587e-15
18825838999.82911,1.5,0.002961841285934981,1.605435627009001e-13,4.905390024725663e-15
18936424043.78511,1.5,0.002918150577257086,1.631780599287605e-13,4.936567451837292e-15
18869839856.96066,1.5,0.002411394679256976,1.398127162819e-13,5.714910290640681e-15
18110521371.40989,1.5,0.002541594362815614,1.73376661324749e-13,5.853656695127089e-15
18491156478.44079,1.5,0.003039393661235168,1.805152709028771e-13,4.90102479271838e-15
18091858907.39403,1.5,0.002183553225554143,1.603963760152879e-13,6.405874206069925e-15
19013092897.39174,1.5,0.003073306629051907,1.61365315108806e-13,4.676916741611188e-15
18330372988.36634,1.5,0.00338663167525709,1.361001529798535e-13,4.4093530967794e-15
18714030737.13643,1.5,0.002266314105140395,1.444869905370645e-13,5.983886659781464e-15
18492694779.09886,1.5,0.002190520975309718,1.671494296224263e-13,6.188495036087641e-15
18105158187.98665,1.5,0.001150874723980795,1.92348848941799e-13,7.643559536852435e-15
18963682621.86703,1.5,0.002566576900248721,1.410409528168177e-13,5.454850958362852e-15
18260632063.4794,1.5,0.00299320560285687,2.136882301147825e-13,5.065399201485769e-15
18193357323.65105,1.5,0.0027905528347007,1.739241050550063e-13,5.419496357376874e-15
18431201711.70735,1.5,0.002441499330701226,1.508768333397314e-13,5.851197200788654e-15
18752151090.85209,1.5,0.0007999958352184358,1.373098365148649e-13,7.526487791629239e-15
18775577406.13846,1.5,0.003387056238933828,1.314068641211547e-13,4.26606514934228e-15
18623443052.02592,1.5,0.001816550499746227,1.406268298577309e-13,6.625227341836584e-15
18012969864.61722,1.5,0.00268137143918293,1.789048461346843e-13,5.683573891222631e-15
18042875164.2431,1.5,0.003161693387888298,1.729276289026056e-13,4.886871321015917e-15
18374074600.08136,1.5,0.001547877212479897,1.625563675036758e-13,7.073153528512307e-15
18118085904.9094,1.5,0.002848680451205428,1.802959660418105e-13,5.36163741522034e-15
19003917958.6712,1.5,0.002503765873937639,1.466352121470508e-13,5.532668489639182e-15
18813882213.31371,1.5,0.003289012505556121,1.535056165389239e-13,4.405371692759894e-15
18765624138.05162,1.5,0.002469694042349697,1.51942367958204e-13,5.669749684476235e-15
18523601435.49994,1.5,0.002628986099671185,1.592943246958265e-13,5.527558228355307e-15
18002040108.92677,1.5,0.001314992252697703,1.524203730227729e-13,7.557663327997694e-15
18592268417.71863,1.5,0.002431535789249995,1.593208901088901e-13,5.795763343390254e-15
18006794398.79975,1.5,0.002844475881075744,1.937446269087233e-13,5.423063659178697e-15
18161381177.2693,1.5,0.0003728061813912587,1.465977713179677e-13,8.079561550805044e-15
18299415424.52456,1.5,0.001106808137366744,1.632987252184498e-13,7.556243779437994e-15
18670171057.51508,1.5,0.002962048207189641,1.670679480203503e-13,4.957697125810048e-15
