frequency,magnetic_field,rho,total_power,TE11_power
19024694949.95394,1.5,0.002486623456427871,1.375435983763978e-13,5.550306456415689e-15
18169869343.15957,1.5,0.003272401179729413,1.489529942712222e-13,4.652828592919561e-15
19066595648.43578,1.5,0.002431619442150366,1.399793580431045e-13,5.614913161549398e-15
18316655701.90451,1.5,0.003150064789520199,1.740639871350516e-13,4.791409524960782e-15
18199899741.05409,1.5,0.001970236789155675,1.507608781958976e-13,6.644778905457311e-15
18844240294.16815,1.5,0.002722344210396472,1.752397909467817e-13,5.264280151821659e-15
18937509136.54706,1.5,0.002227849099371152,1.449395484022306e-13,5.948711008804635e-15
18890092813.65907,1.5,0.002940044434311914,1.717575858914707e-13,4.917963156598682e-15
18514626740.93298,1.5,0.003437401394498337,1.38115750640146e-13,4.26758502144537e-15
18878020428.03939,1.5,0.003026497930724731,1.710725904342978e-13,4.78941582476103e-15
18821294554.30664,1.5,0.002717203479229905,1.486460208472742e-13,5.280093293000837e-15
18398230147.43075,1.5,0.0026671630867237,1.634735358064164e-13,5.521737111755346e-15
18419862232.38615,1.5,0.003379751423249386,1.386522492324246e-13,4.389062084062233e-15
18967122233.50965,1.5,0.002768287926667691,1.469901810361111e-13,5.153491632844081e-15
18405468295.84001,1.5,0.001886906951045651,1.494839450400371e-13,6.643965110017668e-15
18887932255.19133,1.5,0.002685097102123793,1.513238605558143e-13,5.305120139850369e-15
18806104736.56768,1.5,0.001156162337079601,1.33364652292735e-13,7.236991075391553e-15
18102185892.66117,1.5,6.425534771630987e-05,1.644701240100907e-13,8.177579518233878e-15
18566345083.92448,1.5,0.002418751408168893,1.520384378593025e-13,5.825614889603084e-15
18956679483.43429,1.5,0.0009388568118161507,1.321457936669333e-13,7.334602956345594e-15
18159731392.86213,1.5,0.003033469689662105,1.87403245311194e-13,5.043864785739345e-15
18241218970.24512,1.5,0.0023242172238851,1.595958702791401e-13,6.117648913351856e-15
18685599566.5347,1.5,0.001311540338282543,1.428487614793105e-13,7.155172375448498e-15
18894060146.79334,1.5,0.003092539033783008,1.668084845161463e-13,4.68315280229022e-15
19028539300.7178,1.5,0.0007336335483836537,1.30034320518705e-13,7.430236125404648e-15
18002840832.05639,1.5,0.003005344166441889,1.975288763515085e-13,5.16193582570876e-15
18960440074.16995,1.5,0.003479672249095174,1.207596988947705e-13,4.074713740933719e-15
18010969096.74321,1.5,0.002100708045862036,1.66602209469342e-13,6.573809416245414e-15
18910198685.46345,1.5,0.002346901668547752,1.437820839132954e-13,5.792118987861222e-15
18690999340.59828,1.5,0.001504302484767948,1.473916175322101e-13,6.955860005793368e-15
18593100872.80341,1.5,0.003400380186218425,1.430984893924545e-13,4.300346734275341e-15
18633356898.99922,1.5,0.003389268470120835,1.323569610311665e-13,4.305094839894577e-15
18248925775.60482,1.5,0.001805249280110363,1.98720908719895e-13,6.834319584617912e-15
18081686889.33031,1.5,0.002045324437605165,1.548454251567743e-13,6.609754252805187e-15
18832705103.61213,1.5,0.003299394249725398,1.505402644807903e-13,4.38390919968922e-15
18952798266.01453,1.5,0.003004364604227503,1.603492409421735e-13,4.800063968180995e-15
18191887105.96783,1.5,0.002242211410465518,1.563168398779839e-13,6.264572509285194e-15
18014560737.27615,1.5,0.002228685302576059,1.654187362949512e-13,6.384668553386901e-15
18045396028.95748,1.5,0.0002268777343478954,1.713682748233303e-13,8.199993242338522e-15
18819542086.64117,1.5,0.002470477315443203,1.443179047437975e-13,5.648015424571999e-15
18716201409.24622,1.5,0.003368620849550526,1.483152508362434e-13,4.311864188306011e-15
18280515655.29844,1.5,0.002422397146589346,1.620618938413204e-13,5.950860993376913e-15
18466850301.40741,1.5,0.002627318383449997,1.653265305068124e-13,5.553806083052568e-15
18399624110.52825,1.5,0.003423026778340421,1.349502870121345e-13,4.327885160089246e-15
18446796275.18278,1.5,0.003351866657735014,1.404255012831024e-13,4.423765083107834e-15
18141729372.38623,1.5,0.001419429648274131,1.562613092081837e-13,7.354042507372125e-15
18800869233.70018,1.5,0.002336001640048333,1.469713660010359e-13,5.849677135881579e-15
18918462439.47881,1.5,0.002698135459514021,1.512500229936998e-13,5.275081996610922e-15
18402026226.02613,1.5,0.001833960914833345,1.498919667607176e-13,6.713878877213944e-15
19067602528.68029,1.5,0.003496238659895752,1.132945542296195e-13,4.02269070267083e-15
18307897873.65279,1.5,0.001173865937412368,1.6023090842067e-13,7.492185804008124e-15
18024988242.72438,1.5,0.002636349285703245,1.793539074011434e-13,5.749177248906868e-15
18475346410.80565,1.5,0.001336795103022327,1.594410331330851e-13,7.240863879553598e-15
18260025938.85814,1.5,0.003098924687172172,1.782071881909549e-13,4.895911588562195e-15
18759946054.07743,1.5,0.002584223592726045,1.495837961052364e-13,5.50227865318427e-15
18157294752.77018,1.5,0.002887511725942429,1.821957413568862e-13,5.280745683438667e-15
19039124765.28953,1.5,0.002094237040707803,1.375727260661242e-13,6.091086800175681e-15
18747363554.12989,1.5,0.002675352648440876,1.518433048159914e-13,5.369986884585537e-15
18158862510.23942,1.5,0.003323660348237378,1.429628413679238e-13,4.574512565366524e-15
18935472813.99751,1.5,0.0009974771127852467,1.467829086419471e-13,7.302156414904108e-15
18996514854.86769,1.5,0.00277527657298133,1.43168979132815e-13,5.133411729705067e-15
18514070345.83758,1.5,0.003230538359628803,1.667593531887043e-13,4.59166050898731e-15
18775258836.38009,1.5,0.002703575747226925,1.500933745318339e-13,5.317126596733313e-15
18823861540.31373,1.5,0.003493272644581683,1.226360411422697e-13,4.090558330651659e-15
18891850524.24883,1.5,0.002908706174498957,1.680397315945326e-13,4.965249917105231e-15
18664554921.4279,1.5,0.002426891230029859,1.54729683991467e-13,5.772665544774103e-15
19013148551.18064,1.5,0.003364181638440293,1.359227902431797e-13,4.235025086789606e-15
18713656473.81648,1.5,0.003383017091690314,1.334845342631531e-13,4.290448577180686e-15
18986045245.74074,1.5,0.00260010501937376,1.430228548766651e-13,5.397773633016154e-15
18716643223.99477,1.5,0.003262120784557887,1.881469931619353e-13,4.476271997717493e-15
18002070923.62294,1.5,0.001827476057156393,1.565425561101556e-13,6.956016839118978e-15
18720288855.5242,1.5,0.001316700648060293,1.394428615609404e-13,7.132943812721818e-15
18034432206.52486,1.5,0.002313999896509188,1.700375415762964e-13,6.2452920379853e-15
18792238310.47032,1.5,0.001828875232982343,1.441231712844069e-13,6.532703459018572e-15
18997765375.79938,1.5,0.002597140609425817,1.418830711473124e-13,5.398148097317444e-15
18329473395.47187,1.5,0.002799342110471499,1.887041261561718e-13,5.344680596930641e-15
18235335148.92185,1.5,0.002090926258153051,1.834464445464859e-13,6.458324484232378e-15
18537522185.3087,1.5,0.001093397842795674,1.43115499482903e-13,7.428780886829276e-15
18148724124.55589,1.5,0.002631033214032902,1.683553439983557e-13,5.693910691442124e-15
18533029708.7056,1.5,0.003193135546376768,1.661378049879461e-13,4.643944220270045e-15
18299646358.05907,1.5,0.001720939171489449,1.784642358199014e-13,6.911100607374222e-15
