frequency,magnetic_field,rho,total_power,TE11_power
18263383528.90811,1.5,0.0006093567095097502,1.595794302016783e-13,7.915875522069192e-15
18771680706.85531,1.5,0.002212499760119514,1.465932981343179e-13,6.03565929292804e-15
18388093193.79942,1.5,0.0008431933213270725,1.435024049811002e-13,7.702162499014142e-15
18293949851.51959,1.5,0.001340795423020242,1.669748378335597e-13,7.34114119103046e-15
18744172122.65105,1.5,0.003124101849734774,1.665231487592986e-13,4.68143147524792e-15
18200973078.5746,1.5,0.003169095632285492,1.654949954345319e-13,4.807012989640488e-15
18301900196.28193,1.5,0.003333603513781518,1.436906567114539e-13,4.503880359891428e-15
18161245576.11804,1.5,0.003069831671004169,1.846854692446126e-13,4.984314554543156e-15
18731809743.2603,1.5,0.001949928463885035,1.381600496152648e-13,6.406077695320094e-15
18527205618.91376,1.5,0.001459435007705626,1.48177065873432e-13,7.086810979634455e-15
18411627714.21742,1.5,0.00245777269415169,1.545693672541813e-13,5.835669410741028e-15
18028506454.56339,1.5,0.0006692356583039987,1.866793220816412e-13,8.048982966625955e-15
18861555928.70774,1.5,0.003009900877282555,1.732857473525289e-13,4.820079441175584e-15
18860907949.28508,1.5,0.001981441337564532,1.444122981552265e-13,6.309899827708848e-15
18117499883.20787,1.5,0.001043057498373969,1.633559074576575e-13,7.728052928857424e-15
18352417578.29039,1.5,0.002822170293141503,1.908669756432911e-13,5.298861233007368e-15
18687249712.77836,1.5,0.002841034148163261,1.649508273897059e-13,5.138860143068923e-15
18475720347.20697,1.5,0.002977272444617203,1.812798333529814e-13,5.004727599007567e-15
19013444667.10923,1.5,0.003099083209558974,1.607441933892034e-13,4.637583678985328e-15
18109702756.01545,1.5,0.002160459259627,1.596761538385739e-13,6.429180490651989e-15
18166074892.2268,1.5,0.002943119859537247,1.851204944298098e-13,5.187109571483786e-15
18475273186.07762,1.5,0.002038099669519042,1.623556905893721e-13,6.408002961817156e-15
18747665223.23713,1.5,0.003431275295894337,1.31148541948356e-13,4.206384948666307e-15
