frequency,magnetic_field,rho,total_power,TE11_power
18914460624.2091,1.5,0.001357747969141832,1.503864172957517e-13,7.001320631133669e-15
19077389497.61504,1.5,0.003485952910923644,1.120445900249559e-13,4.035607273951795e-15
18436410267.29553,1.5,0.001732275105113445,1.490551155803806e-13,6.822669691316856e-15
18535301798.34232,1.5,0.003439649021963533,1.289150699205933e-13,4.257527075401041e-15
18840809862.61231,1.5,0.002846557033373299,2.106704846247218e-13,5.076927347351803e-15
18224570224.92343,1.5,0.001924842118320228,1.515510669944396e-13,6.691955564888229e-15
18965693379.71175,1.5,0.001994689301699388,1.349705188176084e-13,6.250103657666773e-15
18909209677.5954,1.5,0.001766100116318902,1.517010074693489e-13,6.558436739650281e-15
19095587805.7534,1.5,0.001739277728289643,1.276053660198242e-13,6.513487531515002e-15
18766331426.6631,1.5,0.002583378123573551,1.507619193877556e-13,5.501146446217373e-15
18194970740.10755,1.5,0.001468016428141054,1.494541920115901e-13,7.267636289873927e-15
18669572842.47063,1.5,0.003377850409512564,1.329016249113652e-13,4.3116780705117e-15
18133703315.9643,1.5,0.002555485376373545,1.797574061150788e-13,5.819994136224898e-15
18248587220.62664,1.5,0.003032953280148146,1.907899264367033e-13,5.006645317742634e-15
18809946106.44502,1.5,0.002553235971979396,1.432412132764314e-13,5.52973159046192e-15
18172734223.02114,1.5,0.00267994623938546,1.699810040521429e-13,5.604934976480909e-15
18350754717.4318,1.5,0.00242981771418262,1.679442532564094e-13,5.905893516393186e-15
18892522841.44118,1.5,0.001686185890109368,1.465684644135439e-13,6.659759779145509e-15
18353866534.75315,1.5,0.002258368985460738,1.669209855324619e-13,6.157815573421784e-15
18395653357.15241,1.5,0.001981350255904635,1.543974923087684e-13,6.524321880602909e-15
18270966171.29923,1.5,0.0013358269408236,1.675778295301135e-13,7.36006132508266e-15
18631480826.78578,1.5,0.002694266807635594,1.533573420967246e-13,5.384868542948506e-15
18940460031.36049,1.5,0.002837919195779134,1.563621721724924e-13,5.057101283133393e-15
18835875697.80439,1.5,0.002182793764733512,1.45872229232401e-13,6.050710415798579e-15
18134549798.0159,1.5,0.002068330628340617,1.60254015858337e-13,6.546434355472321e-15
18928553992.82268,1.5,0.003378577057310933,1.395476320475415e-13,4.235998870992602e-15
18112187342.24992,1.5,0.001791099287834577,1.558182803424173e-13,6.933522433639782e-15
18902001383.64799,1.5,0.00338991723269247,1.415025469401339e-13,4.226045293633172e-15
18643189045.6382,1.5,0.002386295578364292,1.575512506557206e-13,5.84085092281783e-15
18812516457.31571,1.5,0.00342288047200752,1.247381484042134e-13,4.200740217100769e-15
18190258010.27319,1.5,0.0009838032957898129,1.649916503241857e-13,7.72642186403786e-15
19078252452.5696,1.5,0.002114950440850371,1.328120761287004e-13,6.048867072714474e-15
18137321107.24331,1.5,0.001784456880940424,1.540499678970402e-13,6.926641198272893e-15
19039234640.34868,1.5,0.003479825344044327,1.226624098615068e-13,4.05430960922752e-15
18581268683.59359,1.5,0.002354771009743133,1.656684801390609e-13,5.91300228496054e-15
18773978240.29737,1.5,0.001909806937463269,1.493446068187333e-13,6.439107697439037e-15
18109041348.88941,1.5,0.001602912422544684,1.570974214069033e-13,7.167893490179237e-15
18167720269.72195,1.5,0.003047293100873689,1.792381122818478e-13,5.017999511314452e-15
18527034834.52775,1.5,0.001916297855073976,1.537372581576836e-13,6.544656481524596e-15
18766890117.88961,1.5,0.003287325933146912,1.499471731831044e-13,4.421972390397064e-15
18160391722.80053,1.5,0.001427420167307969,1.470826241827431e-13,7.333499042319715e-15
18632343063.53614,1.5,0.002436263919516134,1.46169031151248e-13,5.772098292649492e-15
18082987461.97849,1.5,0.002165658174301536,1.552499775457419e-13,6.437032908457971e-15
18727014688.46011,1.5,0.0008524175117087099,1.373174994886388e-13,7.506300669914022e-15
18295931057.94165,1.5,0.002661725818731015,1.735679986967347e-13,5.575647295811355e-15
18624913038.51066,1.5,0.003369630003946265,1.309372995960277e-13,4.338132228388289e-15
18021598175.0887,1.5,0.001861736498236839,1.579948170332559e-13,6.898093875604656e-15
18033836486.64193,1.5,0.002866057377940739,1.902102272528406e-13,5.374392501771437e-15
18910536550.87615,1.5,0.002401869454243994,1.445596064898466e-13,5.713444816549831e-15
18322300429.4636,1.5,0.0007212068142800998,1.544956921030057e-13,7.818326412669595e-15
18172701162.51996,1.5,0.001706800616131775,1.554024467872676e-13,7.002708427139519e-15
18212510636.49488,1.5,0.0004047437444355344,1.577245265290691e-13,8.034025278339269e-15
19056885912.12711,1.5,0.002508787546556415,1.325760319112125e-13,5.507139710038616e-15
18033825163.61197,1.5,0.001371593313314477,1.664086874778802e-13,7.476816148158678e-15
18172011016.96318,1.5,0.002344597475958846,1.644605796807748e-13,6.123266600210958e-15
18701991318.6002,1.5,0.003396465932949669,1.387534416606773e-13,4.273213681543295e-15
18330596972.27794,1.5,0.001761650474873329,1.82228009368752e-13,6.843462378762103e-15
18778150344.65927,1.5,0.003210621187136146,1.564173754471585e-13,4.53690863166824e-15
