model_number,star_age,star_mass,log_L,log_Teff,log_R,center_h1,center_he4
1.0,7585.278789328103,0.999999877070404,0.9628394809273133,3.64798474348909,0.7087090899381031,0.7000000000000001,0.2799702023647489
10.0,105897.66895821143,0.9999987992588871,0.7728658913643665,3.6513840894858753,0.6069236031630585,0.699999999999996,0.27997020236474884
20.0,324857.66690321564,0.9999976280185908,0.5557118969265182,3.6523827157442597,0.4963493534273668,0.6999999999998464,0.2799702023647489
30.0,797854.5346952529,0.999996456435322,0.32475161954992277,3.649796826209237,0.38604099380911383,0.6999999999950139,0.27997020236474884
40.0,1849705.1718527256,0.999995289889377,0.07737099237978148,3.6426742677112176,0.276595797220083,0.6999999993676985,0.2799702023647488
50.0,4739641.207325745,0.9999939697510829,-0.20509485918206669,3.6312500929028166,0.15821122105595914,0.6999999480724587,0.27997020236475395
60.0,12041793.247727815,0.9999924973396245,-0.37005588046083876,3.639367369449639,0.059496157322929566,0.6999984265283747,0.2799702023738188
70.0,20055780.849498164,0.9999912155840518,-0.27454004229667955,3.6817493377195945,0.022490139865097247,0.6999828496666396,0.27997020877898365
80.0,26816894.10883578,0.9999897975275729,-0.10995754067557767,3.7275995313629173,0.01308100338900273,0.6998911298811612,0.2799776978442238
90.0,33464081.645280946,0.9999878943602271,-0.04857976939455087,3.7541389020889233,-0.009308852422495115,0.6997123665595513,0.28016938958784054
95.0,42869299.11066268,0.999985692064017,-0.157563558354737,3.7486991072954945,-0.0529211573157301,0.6992365113400848,0.2805595237490903
100.0,66272489.83412132,0.9999811179663842,-0.15771331811936504,3.7485287201577493,-0.05265526292255444,0.6979001517398011,0.2816786336918024
110.0,269413505.7779306,0.9999398279256035,-0.14189756057148348,3.7503949668522067,-0.04847987753752925,0.6842448922726128,0.29513845552444085
120.0,1367020347.223814,0.9997023322453724,-0.10977791676672362,3.753129742325029,-0.03788960658079251,0.6038577971841166,0.37554267629995985
130.0,2707143096.583079,0.9993791620563826,-0.07029401892728919,3.7561925360826756,-0.024273245176368943,0.5022543740143578,0.4771704170717666
140.0,3979879510.092881,0.9990314174940587,-0.02985277823559761,3.758843073112912,-0.009353698890996286,0.40090849555727254,0.5785525392977859
147.0,4825173765.344944,0.998773595510978,-0.0012148175880183204,3.7603583237161504,0.001934780226316609,0.32966309752599504,0.6498410566068473
150.0,5174063705.040149,0.9986599063605663,0.011034458867683504,3.7609111312195873,0.006953803447292656,0.29908408861138863,0.6804462427750234
160.0,6275851770.386583,0.9982684732871182,0.05130520894634697,3.762258337227763,0.02439476647027473,0.19694788816133105,0.7827211790260218
170.0,7264255362.582879,0.9978681087568588,0.08860303393441368,3.76263760534776,0.04228514272431281,0.09382642094453437,0.8860659432578523
180.0,7988297158.863003,0.9975394537815229,0.11707758568454993,3.762267734909626,0.05726215947564943,0.02403048639691368,0.956015254200404
190.0,8391855178.828486,0.997339872588734,0.1360186800462235,3.7620503644861265,0.06716744750348493,0.006945712430245114,0.9731332432381281
200.0,8715168869.210835,0.9971694721856159,0.1528240731687901,3.7618075861370666,0.07605570076288858,0.00209761346479982,0.9779903838868504
210.0,8994275425.430367,0.9970136638691268,0.16828588514195691,3.761476292057854,0.08444919490789779,0.0006363677005961055,0.9794543475309302
220.0,9236383310.777231,0.9968711149194887,0.18244851455342764,3.7610609592914868,0.09236117514636702,0.00019298668058865203,0.9798985789412703
230.0,9446062229.27391,0.996741450878913,0.1952843491819804,3.7605779386303206,0.09974513378297571,5.848467609227066e-05,0.9800333672709413
240.0,9627435024.167837,0.9966241473145493,0.20686471749162946,3.760047742613205,0.10659570997203155,1.772984403246216e-05,0.9800742312055838
250.0,9784709796.902857,0.996518193591579,0.21726998803451397,3.759484853305419,0.11292412385904556,5.380931896308154e-06,0.9800866268205859
260.0,9921683459.957611,0.9964224330338514,0.2266193431091922,3.758888303065125,0.11879190187697306,1.635640798285255e-06,0.9800903927917964
270.0,10091282035.959143,0.9962990953189415,0.2385301388563185,3.7580007377466846,0.12652243038741579,3.0661875881752435e-07,0.980091732605406
280.0,10963899013.735355,0.9955685074802042,0.30409818134430444,3.748252008910299,0.17880390930418122,5.448454551893745e-12,0.9800920435837551
290.0,11528809334.43397,0.994960124280841,0.326479155178255,3.7178544957105792,0.25078942262059595,0.0,0.9800920401921657
300.0,11748796642.113535,0.9946640839676718,0.38172188356176806,3.6950286007769018,0.32406257667970734,0.0,0.9800920357289339
310.0,11873685399.908566,0.9944235356033287,0.4823856188620726,3.6885127876220527,0.38742607063955736,0.0,0.9800920317513786
320.0,11961756927.462526,0.9941782946218173,0.5793074898784434,3.6860768731401867,0.4407588351114748,2.626020496946832e-38,0.9800920252864123
330.0,12025368897.718742,0.9939328787463649,0.6639314084214355,3.6844487451668337,0.48632705032967694,0.0,0.9800920176761208
340.0,12075704941.693655,0.9936731317110981,0.7431632123672638,3.682872379253685,0.5290956841288884,0.0,0.9800920101601815
350.0,12118109100.111721,0.9933850026399145,0.8187362168080652,3.6812125353184917,0.5702018742196753,0.0,0.9800920023021148
360.0,12149367970.886473,0.9931109492307105,0.8837485199917229,3.679487359279872,0.6061583778887439,0.0,0.9800919956905499
370.0,12179271924.277916,0.9927764497578576,0.9555202660596361,3.6773641691938965,0.6462906310946505,0.0,0.9800919881430266
380.0,12200590308.237213,0.9924751680288406,1.0129100497785053,3.67544597382912,0.6788219136836396,1.149069685635639e-38,0.9800919818242833
390.0,12219252086.4939,0.9921507553061526,1.0686382258709899,3.673464520051643,0.7106489092848342,0.0,0.9800919757132999
400.0,12234274533.479908,0.9918333055719148,1.1206524449392263,3.6714493158877306,0.7406864271467778,0.0,0.9800919703706867
410.0,12247648112.167648,0.9914934250374674,1.1716673378882958,3.669313604822877,0.7704652957510194,0.0,0.9800919652843073
420.0,12258803794.381489,0.9911554860035481,1.2157118274738088,3.667416128195417,0.7962824937986972,0.0,0.9800919607776666
430.0,12268510836.945206,0.9908097931872131,1.2577682582159024,3.665494020292047,0.8211549249764845,0.0,0.9800919566622455
440.0,12277044039.192043,0.9904557016981217,1.2983680348583708,3.66359118140767,0.845260491066472,0.0,0.9800919528857952
450.0,12286352914.93409,0.9900009071869581,1.347400670323302,3.6611902536173693,0.8745786643795389,0.0,0.9800919485999576
460.0,12293736254.77351,0.9895775108862293,1.3886466723709832,3.659066456763711,0.8994492591106972,0.0,0.9800919450541368
470.0,12300379858.51955,0.9891376621980569,1.4248745704967636,3.65718087027178,0.9213343811574475,0.0,0.980091941566313
480.0,12306264819.412645,0.9886946646841297,1.457304358080097,3.6554546979422207,0.9410016196082344,0.0,0.9800919392182758
490.0,12311667280.295584,0.9882426381507429,1.4805619596566553,3.654191145170037,0.9551575259408803,0.0,0.9800919378232629
500.0,12316667306.643007,0.9877962487351943,1.4886780264185464,3.653871391077144,0.9598550675076108,0.0,0.9800919368741318
510.0,12322424220.3374,0.9872818487613474,1.4710210004565527,3.6551266034198324,0.9485161298412382,0.0,0.9800919359572694
520.0,12329834244.764692,0.9866792798748667,1.457895622777831,3.656263411645407,0.9396798245507282,0.0,0.9800919344626466
530.0,12340199424.83362,0.9856541325024913,1.5804708613292564,3.649001715847412,1.01549083542243,0.0,0.9800919278661827
540.0,12350625986.53563,0.9839757096998692,1.716342916791452,3.640432952525979,1.1005643897963937,0.0,0.9800919187848347
550.0,12357950455.74395,0.982120955325736,1.8109472181345603,3.634252115695117,1.1602282141296723,0.0,0.9800919123045959
560.0,12363378777.601202,0.9802853717227656,1.8926195363349572,3.6285926016310857,1.212383401357933,0.0,0.9800919073032123
570.0,12367580955.68935,0.9785594628141306,1.9109456827280986,3.62750999710499,1.2237116836066952,0.0,0.9800919032531895
580.0,12371059652.186018,0.9768209864979578,1.95040506495064,3.624757935414373,1.2489454980992003,0.0,0.9800918999313105
590.0,12374164408.708168,0.9750660535307442,2.004975386278016,3.620827675606791,1.2840911783780518,0.0,0.9800918969698444
600.0,12376982067.71845,0.973133719043548,2.059868306894656,3.6167623605760086,1.319668268747937,0.0,0.9800918941056841
610.0,12379387301.865238,0.9711519390170014,2.099015749189332,3.613775044032215,1.3452166229828626,0.0,0.9800918910296195
620.0,12381415771.68981,0.969129612737803,2.1357380575049385,3.6108736110288553,1.3693806431473852,0.0,0.9800918866356952
630.0,12383187158.204918,0.967104527410393,2.1814678355838484,3.6073376438107556,1.399317466623039,0.0,0.9800918792733984
