radius,mass,logT,logRho,logP,logL,mu,eps_nuc,h1,he4,gradr,grada
1.9366134929761625,0.51124820805277,5.817883118142158,-4.571753137229935,9.445568820346596,3.0183386318591334,0.6310648571278717,2.795353016051773e-16,0.6785370630118024,0.30015232914827883,0.20628897110823818,0.30086833000594077
1.961193957989905,0.5112533384879934,5.813792723318011,-4.588344107234153,9.425616503439198,3.018338563953484,0.6310614720343554,2.3958570159870684e-16,0.6785369461684839,0.30015200797040714,0.20534566091048045,0.30049633609636583
1.9864144082580482,0.5112584689232167,5.808314108989317,-4.610534358743865,9.398928500475199,3.0183384932780006,0.6310617365022814,1.9477110612148263e-16,0.6785367905568709,0.30015158012053217,0.2044551590433435,0.2999985999552875
2.012300419172657,0.5112635993584401,5.802800737222799,-4.633019555396869,9.371954028138486,3.0183384197221796,0.6310678273599353,1.579646277593652e-16,0.678536635512929,0.30015115356040056,0.20362925417230854,0.29948273697084893
2.0388785847668056,0.5112687297936634,5.7972508202710324,-4.655801592820478,9.344690440936379,3.018338343222344,0.6310803457188318,1.2780137980316505e-16,0.6785364812074081,0.3001507286710845,0.20290442463611139,0.29895262405636447
2.0524322374777917,0.5112712950112751,5.793065647930459,-4.672920379787169,9.324189795301557,3.0183383039148692,0.6310924210617456,1.0889195192629638e-16,0.6785363658443234,0.3001504108097594,0.20257220495059455,0.29855952658754603
2.066169211501286,0.5112738602288868,5.790260801629147,-4.684529711655227,9.310342514669413,3.0183382638715766,0.6311008196493576,9.775865488939219e-17,0.6785362891876081,0.30015019947260224,0.20223294769640687,0.298285006092417
2.0942153026916612,0.5112789906641102,5.786031428582723,-4.70225335544474,9.289290422527095,3.018338181461459,0.6311135648097496,8.301485423190083e-17,0.6785361745774525,0.300149883313924,0.20157421341526852,0.2978549966147113
2.1230395368960804,0.5112841210993335,5.780360290735333,-4.7259317237310166,9.261146734689223,3.0183380960249364,0.6311314323065484,6.664296308557148e-17,0.6785360220293194,0.30014946231655343,0.20096832136680653,0.2972962675925621
2.1423681175492497,0.5112874843568914,5.7756361165929295,-4.745625598855077,9.237739529347225,3.0183380383865903,0.6311460242177374,5.54705434246623e-17,0.6785358959153162,0.3001491141349612,0.20056994906348097,0.2968446984693211
2.162053228988378,0.5112908476144493,5.771872467684884,-4.76147203278493,9.21897195698851,3.0183379793927676,0.6311564174947255,4.789087266709401e-17,0.6785357964592991,0.3001488393856792,0.20015445448400332,0.29647824737272577
2.1821041891609236,0.5112942108720073,5.768091070728381,-4.777450941398478,9.200076701566505,3.018337919020502,0.6311657578646959,4.129880330698374e-17,0.6785356974333455,0.30014856562709674,0.19973739752549205,0.2961109588172859
2.202530574793051,0.5112975741295652,5.764292059436843,-4.7935630887282334,9.181053751967896,3.0183378572429738,0.6311743796894487,3.557255154297135e-17,0.6785355985805271,0.30014829227225837,0.19929977275255825,0.295742334457557
2.2445719701575055,0.511304300644681,5.758555252607375,-4.818315926160496,9.152001661614609,3.0183377290944455,0.6311860588895063,2.834797053426784e-17,0.6785354507872303,0.30014788337204323,0.19850128392657299,0.2951563899047891
2.266184796767462,0.5113076639022389,5.7527911428033,-4.8427152858099385,9.123210456908316,3.018337662948849,0.6311965747182608,2.2572853372820416e-17,0.6785353037821141,0.3001474762844153,0.19815627871498537,0.294608212496537
