frequency,magnetic_field,rho,total_power,TE11_power
18768262263.31919,1.5,0.002738682860366709,1.534938455226766e-13,5.266402150406848e-15
18629592141.04746,1.5,0.0004151613527744187,1.412942617367291e-13,7.774037836765773e-15
18664545130.98154,1.5,0.003475199904931127,1.315236184712637e-13,4.163253575909504e-15
18043758398.49093,1.5,0.0007972365804497994,1.702689683121594e-13,7.961237938397306e-15
18952471030.56981,1.5,0.002423889949722237,1.413428879943029e-13,5.666429110152773e-15
18039334007.07762,1.5,0.002952737645716871,1.912051555763258e-13,5.230448683411825e-15
18232298611.33725,1.5,0.00276452433375354,1.839748174325541e-13,5.442937970565884e-15
18347727840.97618,1.5,0.002457149955718037,1.761039258851429e-13,5.866136180295597e-15
18412905277.31524,1.5,0.002837730455472704,1.816720365182442e-13,5.24919293343835e-15
18634696665.75475,1.5,0.002153010854978881,1.481324881407804e-13,6.176543459172638e-15
18514525388.4729,1.5,0.003427660430687429,1.38054069713491e-13,4.282781200513562e-15
18052146044.74311,1.5,0.002906768891660728,1.956330977729469e-13,5.299190478403857e-15
18754147023.75436,1.5,0.00159035495168522,1.545094721428804e-13,6.831269219756533e-15
18995033701.58963,1.5,0.0034504861601458,1.177239970282633e-13,4.109631555436008e-15
18104717885.18364,1.5,0.001221315895417788,2.276253612994489e-13,7.578771329822201e-15
18887718201.23869,1.5,0.002695180526328308,1.522737117215459e-13,5.290068291241557e-15
18070676515.12658,1.5,0.001831269903763477,1.564515323958819e-13,6.90722239782594e-15
18914248976.1878,1.5,0.002075457349695485,1.376808259752077e-13,6.164602975090007e-15
18529605937.71739,1.5,0.002808816357207129,1.613887369881636e-13,5.247789970207685e-15
19064447592.31711,1.5,0.002261068123507907,1.42034423150016e-13,5.855613169610688e-15
18974376802.31688,1.5,0.003272805490921193,1.43297391262659e-13,4.384166242155915e-15
18123761369.30048,1.5,0.002138801651775756,1.781341620189789e-13,6.452376782886059e-15
