frequency,magnetic_field,rho,total_power,TE11_power
19098944567.0118,1.5,0.002068920685032732,1.350562934822191e-13,6.102013841512567e-15
18436238798.77887,1.5,0.002808443511228196,1.700188659574323e-13,5.285610839966152e-15
18577002979.15231,1.5,0.003235114655568498,1.504380432475697e-13,4.563196963139899e-15
18569967803.23367,1.5,0.001760774429357801,1.502520561282737e-13,6.719904535629126e-15
18737580845.54364,1.5,0.001406847691432512,1.545215675142836e-13,7.035247576380818e-15
18156332146.2942,1.5,0.003110637072488665,1.778760621543797e-13,4.920304497407736e-15
18686432981.82291,1.5,0.001068460946331136,1.444623305657148e-13,7.369781603187037e-15
18516162377.38465,1.5,0.00156556049995675,1.543273564336317e-13,6.97648642703851e-15
18993707188.52686,1.5,0.001792473515337143,1.32857169914391e-13,6.491511956495034e-15
18577279321.34714,1.5,0.001997995381860592,1.533829719917653e-13,6.413207136228847e-15
19008547467.95882,1.5,0.001671439741884734,1.375385453419801e-13,6.627398348386602e-15
18254116963.77437,1.5,0.002952776694291159,1.86807960980663e-13,5.132970436045877e-15
18871643937.27816,1.5,0.002162416272773172,1.420507084397178e-13,6.064336274892512e-15
18971438018.96489,1.5,0.0009978054750637041,1.324979857804152e-13,7.285142387190848e-15
18628109418.41047,1.5,0.003474068620904305,1.225064653507568e-13,4.175794885849266e-15
18839556363.03494,1.5,0.00343868270706813,2.165421211956595e-13,4.169125126784913e-15
18828067185.47025,1.5,0.003451254005781051,1.272410646563471e-13,4.153188920029551e-15
19036020642.73698,1.5,0.003445337536789615,1.362562323334045e-13,4.106813306436471e-15
18914861848.62963,1.5,0.002997814982370079,1.656624334343943e-13,4.821809291945983e-15
18510742658.46202,1.5,0.002532379390832991,1.575005258552292e-13,5.679684398524078e-15
18559072291.48573,1.5,0.002774176040984796,1.562939529605805e-13,5.290038327881804e-15
18054234670.54854,1.5,0.002639684351557644,1.781719001151023e-13,5.728428418324983e-15
18254934309.91022,1.5,0.003105736763952285,1.786852523159656e-13,4.887036249418448e-15
18100712084.44589,1.5,0.002793734929221727,1.791809541116103e-13,5.458473098290258e-15
18894294468.80717,1.5,0.003505574720394268,1.252843004182127e-13,4.053052449253768e-15
18789130762.25581,1.5,0.003111337019208405,1.97254986698169e-13,4.686838869294282e-15
19030909358.55486,1.5,0.002263358877718141,1.325134759182849e-13,5.864639815993981e-15
18396896230.58401,1.5,0.003135933510292352,1.72617083366734e-13,4.78330429610959e-15
18081365897.76809,1.5,0.003029101375093665,3.196524744455722e-13,5.086104608624169e-15
18177780382.73524,1.5,0.002254475328551883,1.639474885028292e-13,6.254152308176881e-15
18815051113.14624,1.5,0.001292681005003447,1.432276983706826e-13,7.109891713713002e-15
18224793936.71806,1.5,0.003158865148606277,1.670084777437804e-13,4.813787374505061e-15
18895263998.12544,1.5,0.00115141752052748,1.422455071626646e-13,7.198467875192625e-15
18559667612.59319,1.5,0.002208782541699838,1.506433873143788e-13,6.131986730873853e-15
19008088073.23218,1.5,0.00268412567948591,1.452240886064513e-13,5.26589263883179e-15
18104961168.86642,1.5,0.00157507316508528,1.746332826565359e-13,7.203250043203885e-15
18392110050.11415,1.5,0.002327880282040539,1.556646331699561e-13,6.037831337411265e-15
18157589307.70337,1.5,0.001784399477710093,1.480021781759863e-13,6.914450291474179e-15
18800812804.29674,1.5,0.003292660088875537,1.56673966108752e-13,4.403628425869421e-15
18755764128.97212,1.5,0.002350734690614981,1.431366931897846e-13,5.846453772735521e-15
19018985782.42532,1.5,0.0005170665037755005,1.291370089750616e-13,7.537811517897531e-15
18183646751.92502,1.5,0.003136743463677113,1.755573038059149e-13,4.866467584266163e-15
18497201767.3786,1.5,0.000897327554419184,1.456569447160321e-13,7.601153440006727e-15
18519291768.18033,1.5,0.003341346065303802,1.408118066076692e-13,4.416009325559859e-15
18553383500.86596,1.5,0.001876420274187054,1.4962170061596e-13,6.58328269497636e-15
18390043155.3447,1.5,0.00306654339278435,1.81635487973335e-13,4.896202380931275e-15
19062299485.64338,1.5,0.0008932689049709487,1.329354147476283e-13,7.317212902993504e-15
18950181979.63668,1.5,0.002882477365235805,1.544682145837719e-13,4.986412057568357e-15
18896610063.24044,1.5,0.00280355816213587,1.593400915301911e-13,5.123583147073536e-15
18054682116.69061,1.5,0.0007282107234517603,1.693049081978431e-13,7.996036674262583e-15
18090480399.35789,1.5,0.002917055238927707,1.883243298777579e-13,5.264132111107973e-15
18230442169.14841,1.5,0.002295729825700254,1.622441894695314e-13,6.165434635807513e-15
18040116672.57737,1.5,0.00158000180619013,1.922343564061646e-13,7.23987306359565e-15
18290623634.6939,1.5,0.0003947072666273344,1.462917515089562e-13,7.985085455172229e-15
18025485603.45357,1.5,0.002832893707924158,1.878709754148195e-13,5.432456685999625e-15
18010999700.21038,1.5,0.003024991176419742,1.97797063956543e-13,5.125775031704249e-15
18035151841.23009,1.5,0.002710236380358892,1.837685233155734e-13,5.625629482895119e-15
18594791493.03874,1.5,0.003159499549696259,1.766459410324223e-13,4.67559267060512e-15
18048699527.21206,1.5,0.001670673449624946,1.573600870444317e-13,7.125105190344839e-15
18892948665.14678,1.5,0.001496473711966371,1.493658456046534e-13,6.869957249809775e-15
18309338580.67723,1.5,0.001218167631833587,1.617983365463178e-13,7.450784788022969e-15
18484911154.1924,1.5,0.002702932834836226,1.723775006316799e-13,5.429839694179513e-15
18556010323.90935,1.5,0.0005456724138602881,1.590867193027141e-13,7.766013294585403e-15
18665613559.93113,1.5,0.002294446176494877,1.495214881082908e-13,5.964111368894384e-15
18979568830.25173,1.5,0.00326569382160255,1.468446274375442e-13,4.393541520172956e-15
18748484073.692,1.5,0.002586244806351378,1.470964815229389e-13,5.503571103123899e-15
18561397092.44472,1.5,0.002284503106028267,1.598109649359852e-13,6.023332391713099e-15
18988970399.8741,1.5,0.001270285843077322,1.324189906139031e-13,7.050635732144131e-15
18795701227.1314,1.5,0.001257309159287315,1.383496681768609e-13,7.152119384011964e-15
18249107775.22781,1.5,0.003237601779950771,1.651615374610904e-13,4.677436610029479e-15
18490709456.33331,1.5,0.001235097784786891,1.507012366042302e-13,7.330049949292487e-15
18798752280.72125,1.5,0.003239619234013943,1.632785930789112e-13,4.485897973101763e-15
18711429305.6746,1.5,0.002744072735621589,1.565714985415633e-13,5.278791245057838e-15
18182258604.4502,1.5,0.001720618329916715,1.539184897222408e-13,6.979853016676992e-15
18899545227.89262,1.5,0.003044285263825797,1.704798652290935e-13,4.755439968412953e-15
18790998296.26228,1.5,0.001118216255792781,1.387287382849399e-13,7.276400794948292e-15
18308753270.65664,1.5,0.001883706216301122,1.815673381481428e-13,6.699586167743846e-15
18676834655.10455,1.5,0.001611976341740426,1.459516699417716e-13,6.843533294793372e-15
19013119647.95534,1.5,0.002037645039816654,1.34525191832726e-13,6.175599704695626e-15
18251465290.45038,1.5,0.00122389488930202,1.599242542629883e-13,7.481036838590528e-15
18336378064.14027,1.5,0.002192920469101839,1.758202934554801e-13,6.260853704811707e-15
18984166269.51897,1.5,0.00333761476459048,1.33804380500282e-13,4.28302264502701e-15
18901565123.42919,1.5,0.002613704538162767,1.583192500318785e-13,5.406914957894955e-15
19043874717.56715,1.5,0.002325959183297066,1.326198892679193e-13,5.77264436484022e-15
18975149432.45916,1.5,0.001409290070997589,1.826828176970042e-13,6.923265085031402e-15
18942120369.73151,1.5,0.002247194113533022,1.451403531364172e-13,5.920155394905179e-15
19048433104.68247,1.5,0.001846053141833685,1.284635718700845e-13,6.404409456137685e-15
18483344880.32936,1.5,0.002360716581992333,1.569803379131022e-13,5.947437727983671e-15
18967198944.6423,1.5,0.002315006454435821,1.364661803454446e-13,5.815970668008306e-15
18056805358.44334,1.5,0.003033647673990588,1.985680012469355e-13,5.090018756454252e-15
18856502246.42525,1.5,0.002152726996351187,1.540161880679045e-13,6.083617229756979e-15
18641782384.17772,1.5,0.002438950129694438,1.561542540052365e-13,5.764256870119909e-15
18840536339.50924,1.5,0.003187976937376839,2.310273319046268e-13,4.55278938236597e-15
18075274166.34185,1.5,0.002542284040923039,1.735086693094754e-13,5.871109715246205e-15
18687287787.67303,1.5,0.002355153046276363,1.488633737112236e-13,5.867835659058298e-15
18361408107.26783,1.5,0.001371379386551162,1.596444532792489e-13,7.270263388418964e-15
18643810430.44922,1.5,0.002644515411508872,1.667576103336425e-13,5.455842848952693e-15
18123089734.30469,1.5,0.003269515832023172,1.593386925380276e-13,4.676585845211106e-15
19093331671.70452,1.5,0.003233777710631676,1.465316423140022e-13,4.410766162448513e-15
18509212094.64833,1.5,0.002353348674910371,1.539441062072628e-13,5.946651830709803e-15
18957233925.53866,1.5,0.002908863740936071,1.529910624674499e-13,4.944103381095469e-15
18019878052.69746,1.5,0.002159827959555553,1.609563493081946e-13,6.482809697089203e-15
18436479021.15327,1.5,0.003446296967500784,1.311216633702783e-13,4.279069675808145e-15
18620800873.50804,1.5,0.003347968844641698,1.323609925749997e-13,4.373032952581152e-15
18271612534.11662,1.5,0.0005998903054787848,1.831160235368253e-13,7.915086662424651e-15
18677339694.46704,1.5,0.002889246557828725,1.652520487044426e-13,5.067985567652475e-15
18576703493.54635,1.5,0.002958171615880863,1.720023149127591e-13,4.997103930114968e-15
18200853717.52352,1.5,0.002334214366255922,1.632843542759145e-13,6.123646156123137e-15
19012767078.94216,1.5,0.00248442810471617,1.374637143335313e-13,5.557632211297569e-15
18754328945.17548,1.5,0.002369703647490862,1.460487878700562e-13,5.819712824560763e-15
18074765506.43934,1.5,0.0009718224400864805,1.605765913631008e-13,7.81474137119766e-15
18378471708.99675,1.5,0.003314411769038891,1.551180796095021e-13,4.506663013934796e-15
18493468268.03132,1.5,0.001259243722712116,1.521675269852612e-13,7.305951056795168e-15
19021093647.917,1.5,0.003200213403488893,1.547950842593105e-13,4.481533086754214e-15
18396145923.39023,1.5,0.001225139355117377,1.47595733252672e-13,7.392846932163892e-15
19017968786.08133,1.5,0.001593620333000848,1.30309470634981e-13,6.710804949273601e-15
18870078177.55494,1.5,0.003360479185134476,1.434819049773378e-13,4.279744875412041e-15
18219961503.57418,1.5,0.001658427924378602,1.422556706789035e-13,7.033289294759208e-15
18981710237.37991,1.5,0.001595209022540728,1.383771549817398e-13,6.724394551496083e-15
18584604154.45933,1.5,0.001522631972334183,1.563173221857174e-13,6.988885906228005e-15
18494247156.40633,1.5,0.002954368097204747,1.852394013542455e-13,5.033741256527636e-15
18775018420.1437,1.5,0.003348772526222685,1.373863630792508e-13,4.324980412406575e-15
18251740067.50893,1.5,0.002954581786968877,1.897021663641543e-13,5.131095029429127e-15
18836927519.58933,1.5,0.001045197695026776,1.390760993199572e-13,7.312850472759417e-15
18068024087.61974,1.5,0.003034273677401314,1.940374604319187e-13,5.083803778447383e-15
18392099247.02121,1.5,0.001780972372808952,1.515880342733187e-13,6.78599838142326e-15
18221437932.76404,1.5,0.002535487459683797,1.647361632930565e-13,5.807068090627086e-15
18692638557.68814,1.5,0.002020141620691735,1.445658006036861e-13,6.331264813628069e-15
18288191181.01207,1.5,0.003421712234149291,1.36763035176387e-13,4.368814137895616e-15
18995401101.58594,1.5,0.00323537334846417,1.463947458191868e-13,4.435255144469849e-15
18176470125.28038,1.5,0.002093716035925515,1.642632030250032e-13,6.48683623449592e-15
18141364760.76998,1.5,0.001711305668828219,1.493101071487339e-13,7.016257821701938e-15
18681267602.25481,1.5,0.002453039502718884,1.587328865542088e-13,5.727468424190429e-15
18093675863.97683,1.5,0.0005958711881888262,1.693942841812614e-13,8.039225495720979e-15
18720000587.7396,1.5,0.00285915647650779,1.637707947327341e-13,5.099279287138344e-15
18618015095.31536,1.5,0.002699329228978883,1.539738547756248e-13,5.382327757807966e-15
18779699029.91678,1.5,0.002117039116715224,1.436314460765214e-13,6.16364389759762e-15
18002801189.0177,1.5,0.002262435660030498,1.659427180500497e-13,6.341336845616798e-15
18239372206.60918,1.5,0.000683985750729098,1.497091884985443e-13,7.892901783026417e-15
18159528834.4303,1.5,0.00312493922191207,1.733982750444112e-13,4.895757616429346e-15
19050259804.90955,1.5,0.003223186659311837,1.514066879770444e-13,4.438545785144234e-15
18456613827.72511,1.5,0.002210989921955386,1.835122540352041e-13,6.176408892586721e-15
18502675943.58454,1.5,0.002959780035613712,1.774515912007496e-13,5.022045628460164e-15
18675091641.30158,1.5,0.0004479977251912823,1.414960976851057e-13,7.73783359515183e-15
18068981203.75516,1.5,0.001020895764270901,1.70026768299844e-13,7.779902130493072e-15
18651077893.32725,1.5,0.002933668745943368,1.708451989202416e-13,5.008491885122863e-15
18947147457.02188,1.5,0.001716637622797484,1.438878344465101e-13,6.600890630710041e-15
18361659231.2094,1.5,0.001555935728382989,1.638711809345586e-13,7.071017037270806e-15
18610011166.68061,1.5,0.002872569017211184,1.646680429882493e-13,5.118234942980404e-15
18475807559.73663,1.5,0.002922807330276657,1.80169319174862e-13,5.09042152511306e-15
18595728798.90384,1.5,0.003134831083849429,1.786409931757693e-13,4.713891252272238e-15
18468231900.21544,1.5,0.002393205128423784,1.616047162990883e-13,5.90635398522295e-15
18427478069.96993,1.5,0.002288837627065095,1.535650718735128e-13,6.078161313938779e-15
18852887160.04297,1.5,0.002134261473177138,1.427275839918014e-13,6.110200752680177e-15
18762395792.25588,1.5,0.003366474999645968,1.345136768442161e-13,4.301488663285647e-15
18783272078.69385,1.5,0.0005162639839447358,1.327752453631384e-13,7.654641728211392e-15
19081075630.56639,1.5,0.0005972790982514151,1.212302841811512e-13,7.474802134769373e-15
18540889491.10038,1.5,0.003192246329259467,1.576540261161842e-13,4.642636207582275e-15
19043720571.678,1.5,0.00194552275022663,1.310795917825949e-13,6.282331256166699e-15
18089592263.27373,1.5,0.002741717409886209,1.76503189773398e-13,5.547460608006187e-15
18004228198.41351,1.5,0.001743491500650645,1.543947571285845e-13,7.063273103526235e-15
18071359183.84551,1.5,0.0006593885576667983,1.623103461288391e-13,8.022810566721457e-15
19069314081.9383,1.5,0.0005579739607589657,1.238694091377738e-13,7.497502652871004e-15
18659661425.07195,1.5,0.002229909088267179,1.451291164786635e-13,6.058241478051821e-15
18931163832.01303,1.5,0.001471792736672381,1.573372348301016e-13,6.878827000141916e-15
18278159186.1971,1.5,0.000277008178181244,1.736758720250207e-13,8.025425408108793e-15
18110716922.29691,1.5,0.003321708260282373,1.467044086066584e-13,4.597085650199458e-15
18812898975.96146,1.5,0.003503283665343488,1.271494194606956e-13,4.078381682524444e-15
18671071591.18023,1.5,0.003346158250286704,1.39586146689589e-13,4.360228091925684e-15
18328577552.01305,1.5,0.0004290779586791588,1.756795910545448e-13,7.949028507943982e-15
18162447810.06601,1.5,0.002742193534971399,1.808688715391944e-13,5.5111243636696e-15
18842840547.6396,1.5,0.0002940133118995252,1.347601667934561e-13,7.694210580166783e-15
18838756267.76755,1.5,0.002491005571897507,1.434611158815933e-13,5.61075364521694e-15
18374249221.72086,1.5,0.002514178124619146,1.623085219247325e-13,5.767405133546188e-15
18458754004.5672,1.5,0.003382941914329317,1.3780143307579e-13,4.370922072760991e-15
19053954108.29641,1.5,0.002680634745443933,1.396646268301702e-13,5.256025531523923e-15
18944610358.72439,1.5,0.00316533955228444,1.684329615056181e-13,4.556583658890509e-15
18872644090.49846,1.5,0.003381153069672338,1.491087633376088e-13,4.247507011462959e-15
18116307645.81839,1.5,0.001787428258656592,1.538705113861456e-13,6.93569510033206e-15
18436098840.11121,1.5,0.002963767350815339,1.730116170847593e-13,5.04126855921442e-15
18248298454.36862,1.5,0.001828147542985833,1.514392735266395e-13,6.8053282474178e-15
18796434996.56726,1.5,0.001437369760721303,1.403820048453421e-13,6.975942904423811e-15
18537680514.53218,1.5,0.003418171831666552,1.28191592211148e-13,4.290161253401023e-15
18828104022.58109,1.5,0.002888789019581792,1.692323427252327e-13,5.016663548878016e-15
18712954176.51383,1.5,0.002896927552949948,1.64911512764671e-13,5.043543150380534e-15
18387908614.471,1.5,0.002345873761470356,1.572428262940969e-13,6.013335649878388e-15
18933126138.9474,1.5,0.00302408598317945,1.803443529753295e-13,4.775993692376453e-15
18093091902.72981,1.5,0.00290688279619484,1.932863250327728e-13,5.279394709242237e-15
18502214358.50575,1.5,0.001466872455357527,1.514399070111314e-13,7.092129011105374e-15
18561360496.97869,1.5,0.00310933007533112,1.669387677434368e-13,4.765747401505905e-15
18555605657.55502,1.5,0.002944721227608143,1.654207726979655e-13,5.025883752281596e-15
18825576404.49699,1.5,0.003231239687734891,1.528615457329782e-13,4.490731555672789e-15
18687310947.06078,1.5,0.003167903874626947,1.703619569267743e-13,4.63180130510336e-15
18708915570.85016,1.5,0.003249995873088034,1.563073791173526e-13,4.497462102420105e-15
18872268097.71391,1.5,0.003154487295339614,1.65811173011428e-13,4.594685952968434e-15
18715479391.38189,1.5,0.00244684957112087,1.764685245431726e-13,5.722900619699875e-15
18578498280.78979,1.5,0.001361966524804644,1.5470615807738e-13,7.160488417530839e-15
18936005607.83413,1.5,0.002798116473033687,1.545768466689082e-13,5.11875982357927e-15
19063463989.25944,1.5,0.001732101721725829,2.330721792420446e-13,6.53476036278686e-15
18468960835.77982,1.5,0.002115674004250579,1.680897429706382e-13,6.304566556721471e-15
18339672019.68813,1.5,0.002075174893067675,1.644139745216691e-13,6.425094866354157e-15
19091824860.46713,1.5,0.002621612785221263,1.445864869099142e-13,5.330802462680042e-15
18790641390.70901,1.5,0.002179434549793934,1.447214523381373e-13,6.073708989382686e-15
