frequency,magnetic_field,rho,total_power,TE11_power
18544048921.14057,2.25,0.003159293005257128,9.430413390059594e-13,4.997295467320065e-15
18165415654.02811,2.25,0.002967583087023047,9.551231736311567e-13,5.446092042145709e-15
18979898183.36522,2.25,0.003350763178818962,7.406394306965202e-13,4.575203540421546e-15
18033678313.75771,2.25,0.002572728674895113,9.163287716760322e-13,6.170422168278988e-15
18072119594.70633,2.25,0.003077960880241872,1.011780245862723e-12,5.292538252274285e-15
18842001399.22582,2.25,0.001373211591017534,8.390419916738052e-13,7.512948599336743e-15
18673137670.72601,2.25,0.0006275502455412041,8.106990062413985e-13,8.177907170596142e-15
18615613203.64735,2.25,0.003329813081186478,7.617202886149091e-13,4.693855572823291e-15
18938347293.53235,2.25,0.001602379270285667,8.183493211317025e-13,7.220874615140292e-15
18657340521.69838,2.25,0.00321701557056876,8.960573099824919e-13,4.870305757652953e-15
18144420156.81481,2.25,0.003145024887913201,9.473126071712347e-13,5.149866169009207e-15
18188362456.52673,2.25,0.0022346360376233,9.066001750939859e-13,6.643742785757103e-15
18258542457.9531,2.25,0.00163271122424942,8.503070147677527e-13,7.460787712085855e-15
18421151624.1246,2.25,0.002604508129224067,8.673615964478417e-13,5.959084703283e-15
18126113680.54062,2.25,0.002740919658164826,9.361506850410925e-13,5.847212350357962e-15
18374041017.83988,2.25,0.001881237375452209,8.733514444357283e-13,7.078971401974278e-15
18940163559.75515,2.25,0.001761298893502971,8.245906755221471e-13,7.023846938331924e-15
18598312492.2706,2.25,0.001940088638273745,8.444631553523163e-13,6.905762188893393e-15
18113719180.81295,2.25,0.002213831498740264,8.92844692033097e-13,6.711101574607825e-15
18928538463.6539,2.25,0.002602945064784455,8.258090036749513e-13,5.802897570952402e-15
18549153752.97349,2.25,0.001434166707320823,8.991227301064891e-13,7.562572224355287e-15
18359858431.83051,2.25,0.002881125496651105,9.861681998889502e-13,5.522072409110478e-15
18324986355.43225,2.25,0.0003121245803345608,8.523260712062927e-13,8.471841893507541e-15
18569628475.45591,2.25,0.002653115048549898,8.60627711054006e-13,5.828991934167505e-15
18151110577.67337,2.25,0.002714926151891367,9.024645407767269e-13,5.88060248125401e-15
