frequency,magnetic_field,rho,total_power,TE11_power
18008963081.02814,2.25,0.00198158398535826,9.191986775663361e-13,7.115207267499001e-15
18788647607.84374,2.25,0.001315172024245348,8.293443831948635e-13,7.593301523666466e-15
18657201569.95804,2.25,0.002965849150712196,8.793082980134056e-13,5.28769643500462e-15
18575418558.07816,2.25,0.002462564284120462,8.548120627391287e-13,6.133083243561725e-15
19071992358.82314,2.25,0.002188743868275206,8.018643668970009e-13,6.396471790568797e-15
19001830989.96644,2.25,0.003332937288188243,7.589732240138768e-13,4.599625298980842e-15
18982872225.69557,2.25,0.001665026016148515,8.024158433128574e-13,7.130451099514804e-15
18220333795.17546,2.25,0.002611993732541046,8.835458135918679e-13,6.023816027058795e-15
18438068699.20441,2.25,0.003046963128330504,9.248301840436419e-13,5.217361178011864e-15
18201195345.49157,2.25,0.001831151904852175,8.576075090228326e-13,7.228446731347275e-15
18953356809.73954,2.25,0.002856036066686476,8.192389705785399e-13,5.389424118300798e-15
18061536763.00013,2.25,0.000625267867238894,8.866240400412241e-13,8.499230063419803e-15
18837960939.65416,2.25,0.00222394037375405,8.347346180658069e-13,6.413865073398523e-15
18994518247.42757,2.25,0.002146049536391168,7.982703237907806e-13,6.480738973244749e-15
18681526282.48427,2.25,0.003028607160942001,8.780048705025751e-13,5.176838702986216e-15
18551515221.70382,2.25,0.002363209805901318,8.457793252167342e-13,6.297409119231362e-15
19087445456.41827,2.25,0.001935400073913611,7.797759089445317e-13,6.748928369933018e-15
18962071419.61911,2.25,0.00305046610987711,8.622928598999991e-13,5.069987501136817e-15
18735968738.53398,2.25,0.003346656190521782,7.560875618268727e-13,4.636301309339812e-15
18762849531.75223,2.25,0.003307290736852698,8.181098182302251e-13,4.694716464130276e-15
18347026990.8624,2.25,0.002315788822878568,9.039288160020619e-13,6.449068523751306e-15
18752274842.22388,2.25,0.002354025476140979,8.136627226059896e-13,6.244106297190404e-15
18225114807.56262,2.25,0.002484979908564779,8.91137465842026e-13,6.230017104977977e-15
18513634930.19162,2.25,0.003221984551049814,8.970090473236411e-13,4.900970771298155e-15
18096313586.18041,2.25,0.0008310302730949496,9.280377687581529e-13,8.349181562649151e-15
