frequency,magnetic_field,rho,total_power,TE11_power
18153114034.96893,2.25,0.003210980074482469,8.667784579705843e-13,5.033637560017237e-15
18653761875.41657,2.25,0.002390310337360287,8.440647692848237e-13,6.220051666592992e-15
18777770626.72924,2.25,0.003208541144867644,9.05761898349949e-13,4.853981359469107e-15
18144095728.45773,2.25,0.003029026551309213,9.836242756520435e-13,5.349007300661175e-15
18837254704.53445,2.25,0.00258176662615651,8.4528177289409e-13,5.86198220002834e-15
18735772742.64617,2.25,0.001795228679352697,8.333778663366808e-13,7.050234385465334e-15
18450068482.85269,2.25,0.001982926832989121,8.426873197705975e-13,6.904216917842906e-15
18835036460.75208,2.25,0.002860914656956353,8.392579498573692e-13,5.411845440570525e-15
18840146795.26413,2.25,0.003099635729701759,1.028044817282434e-12,5.01837455250013e-15
18172797939.91085,2.25,0.001587499515019967,8.740786817487777e-13,7.56085921561488e-15
18391527662.67508,2.25,0.002433358606505811,8.640925708943662e-13,6.246099894510085e-15
18447098539.05132,2.25,0.002928805777313599,9.098762506674552e-13,5.412923119449391e-15
18136608676.61498,2.25,0.001604588500727664,8.764668037183309e-13,7.558856733870578e-15
18680790305.31613,2.25,0.002158232636499603,8.32236429026014e-13,6.56300716606162e-15
18737848906.89801,2.25,0.002634738890119735,8.380998043984501e-13,5.806298053780608e-15
18396164973.60334,2.25,0.002180620186079031,8.735392775012314e-13,6.636537998637172e-15
18292022413.3709,2.25,0.0008127462385350071,8.986858766238451e-13,8.250157636784438e-15
18772776257.11883,2.25,0.002444745556656059,8.326088665280129e-13,6.097110977747786e-15
18425733469.83902,2.25,0.0018550393032746,8.582969107728877e-13,7.092453029215814e-15
18214253963.18172,2.25,0.002212119467491305,9.038603088270951e-13,6.666696725314482e-15
18915855942.41328,2.25,0.002732570478330748,8.353750745662941e-13,5.598882990954112e-15
19063548510.53836,2.25,0.001332453833545918,8.077392939104595e-13,7.478563042310458e-15
18705378684.19775,2.25,0.001990210172981574,8.321133722997376e-13,6.79643411834707e-15
18908941723.45975,2.25,0.002866185984922363,8.584032131422463e-13,5.384080590434958e-15
18792687087.99186,2.25,0.00180825385877027,8.528035800589282e-13,7.012902476192728e-15
