frequency,magnetic_field,rho,total_power,TE11_power
18058140079.78641,2.25,0.003136329426858066,9.89966425740628e-13,5.197233722030724e-15
19082344194.09234,2.25,0.003256804215758897,8.741018505146771e-13,4.706813658906225e-15
18615961181.77343,2.25,0.003029007494953496,9.169241338133896e-13,5.194424401114181e-15
18731005435.08843,2.25,0.0008236847277721495,8.202522679741419e-13,8.035935238868113e-15
18397831100.89785,2.25,0.002507882380883167,8.740547325683074e-13,6.124338533051633e-15
18055769075.70992,2.25,0.003110986262515232,1.024958059683442e-12,5.241925494569868e-15
18081476722.46376,2.25,0.003244402712666091,8.292761825427738e-13,5.002090553957742e-15
19028456923.55108,2.25,0.003294723466420338,8.058876609839344e-13,4.656256409128839e-15
18309596711.13984,2.25,0.002552441185232835,8.899884180497372e-13,6.085945204665645e-15
18982707462.20466,2.25,0.002472022553173497,8.165707855673635e-13,5.993802220553096e-15
18149004331.18782,2.25,0.002292461310606066,8.742733802228221e-13,6.571607332097631e-15
18440642478.02333,2.25,0.001677313043423892,8.417945660112407e-13,7.319757467145707e-15
18135605786.60697,2.25,0.002702504745498248,9.283524277735691e-13,5.907954346440347e-15
18698809658.73422,2.25,0.003264226032239262,8.46162358055264e-13,4.781442059917973e-15
18622491079.42763,2.25,0.00331649583641203,7.536200928054921e-13,4.714173862020468e-15
18767715339.32778,2.25,0.003094722640038132,9.239567665281809e-13,5.044579157110599e-15
18310642933.33935,2.25,0.002310336716319963,8.833066411733432e-13,6.472551822279603e-15
18809707930.26846,2.25,0.002462129607677286,8.119831629144602e-13,6.058732734265082e-15
18074894167.89571,2.25,0.003215925247309899,8.503954563294706e-13,5.053560039721001e-15
18086704838.96287,2.25,0.002706447110287362,9.206803009218894e-13,5.922184421788334e-15
19085824414.21295,2.25,0.002086957607288555,7.834554681001802e-13,6.53910120767691e-15
18256226360.64336,2.25,0.00314810892935857,9.378292373784568e-13,5.105318652355224e-15
18753298352.45003,2.25,0.002317762077171602,8.147390485641776e-13,6.299314927135428e-15
18956789104.26889,2.25,0.00101251365741922,7.910034939140244e-13,7.808685073237282e-15
18326661307.21637,2.25,0.001384704973495532,9.347123322747886e-13,7.719332468393809e-15
