frequency,magnetic_field,rho,total_power,TE11_power
18741607981.11335,2.25,0.00295753863382071,8.704525545812323e-13,5.278115292435759e-15
18047109961.43305,2.25,0.0002870347578754878,9.077768765288507e-13,8.642838228790569e-15
18561729950.05074,2.25,0.002266537095042588,8.343352192043903e-13,6.442694970713167e-15
19055738609.20693,2.25,0.001157150739590013,7.5987349110096e-13,7.650254423745331e-15
18013616780.6354,2.25,0.0009481673002254689,9.362563357991935e-13,8.312060181233112e-15
18511286485.74347,2.25,0.003183551611063198,9.47375226367102e-13,4.966009817297858e-15
18878298246.28144,2.25,0.002269933854676985,8.476548119351312e-13,6.332707461036058e-15
18037617801.40342,2.25,0.003022076343777284,1.028259091128513e-12,5.402776734474777e-15
18263551038.56783,2.25,0.003179949481754722,9.664707564381834e-13,5.048656647932766e-15
18343156137.67202,2.25,0.002658350721078182,9.234226797130971e-13,5.899352433273898e-15
18720941091.58692,2.25,0.002232157601091718,8.22851656897236e-13,6.43939507235277e-15
18013894519.63116,2.25,0.002368854101342172,9.341580643694983e-13,6.51477881300953e-15
18670630581.21838,2.25,0.002157660741245248,8.303328133713712e-13,6.567382369104949e-15
19071572802.17516,2.25,0.003220764855325359,8.839839034034794e-13,4.767666631931899e-15
18219293026.40176,2.25,0.002235973528895584,8.706457394678758e-13,6.627643742882253e-15
18382379923.35567,2.25,0.002943599096206848,9.140114067765573e-13,5.409355220108428e-15
18543102567.24063,2.25,0.003141764129144472,9.532142422226055e-13,5.026892364583696e-15
18154857215.48085,2.25,0.002111702186774646,8.796958871678736e-13,6.847228466754164e-15
18980713201.96062,2.25,0.002067805148134665,7.883905010514535e-13,6.597001121034182e-15
19001860860.95617,2.25,0.001624703467109865,7.962155825402211e-13,7.173205071811052e-15
18167717055.29634,2.25,0.002426484039186716,8.941415966948248e-13,6.349476475536988e-15
19024832856.1263,2.25,0.001950642639183836,7.758425401487061e-13,6.746807268044332e-15
18007836314.66072,2.25,0.001966773678668801,9.400815817443514e-13,7.137445074609003e-15
18677284097.60986,2.25,0.0002265872461883424,8.135362584364695e-13,8.319621347983307e-15
18849299501.37454,2.25,0.002189093148108052,8.239778172677547e-13,6.461920772671919e-15
