frequency,magnetic_field,rho,total_power,TE11_power
18928657226.44693,2.25,0.002464326381292413,8.080859704247428e-13,6.020746805763234e-15
18692733374.64155,2.25,0.002707983969455487,8.610738145276581e-13,5.701310039715096e-15
18237064543.05561,2.25,0.001070676838927596,8.869394133696062e-13,8.077443306185029e-15
18329597488.82737,2.25,0.001994421917416301,9.185531152030178e-13,6.939147726233727e-15
18357598472.79814,2.25,0.001245817348646786,8.658599541353431e-13,7.849936484890707e-15
18505860657.47188,2.25,0.003308705389622277,1.030115528465364e-12,4.758122097396976e-15
18195212823.83877,2.25,0.002668199200079748,9.089274097344838e-13,5.940713831192611e-15
18911011924.85822,2.25,0.002780207904481816,8.329887469416365e-13,5.523201280259799e-15
19047495078.7567,2.25,0.003103483240718564,8.631918320430267e-13,4.964010393680848e-15
19053033008.21494,2.25,0.002745487726684192,8.03237940539076e-13,5.543316893246833e-15
18391737817.51126,2.25,0.002345372868230838,8.533761967373683e-13,6.384957543469651e-15
19054889779.39557,2.25,0.003326881237399805,7.676668215649453e-13,4.598579069829288e-15
18837580180.67337,2.25,0.002776022600648868,8.692216453157277e-13,5.54949408564661e-15
19078697897.30072,2.25,0.002305762910678745,7.707877324806735e-13,6.221513873733088e-15
18174213616.65158,2.25,0.0028921347762538,9.490247371537371e-13,5.571391750291088e-15
18510697524.40978,2.25,0.00276929348997848,8.843828125362864e-13,5.657734320824979e-15
18432537548.15226,2.25,0.002040722084030492,8.418903548137804e-13,6.828513420457459e-15
18511208499.25893,2.25,0.002137442624913537,8.500023541468178e-13,6.655589692723169e-15
18445124669.20703,2.25,0.00225547419941039,8.432775457002562e-13,6.503312273964566e-15
18135030781.86496,2.25,0.001291088643801905,8.782057823254822e-13,7.920727138810624e-15
18096910244.51376,2.25,0.001743140077601959,9.129390268561018e-13,7.401234428614149e-15
18613203183.60481,2.25,0.002356215436727031,8.339320675821306e-13,6.286707622421698e-15
19002468825.28786,2.25,0.003257951803832477,8.57108458521802e-13,4.721632061965257e-15
18386601516.31472,2.25,0.002481996276909022,8.908125401157868e-13,6.170218288822567e-15
18779578432.04263,2.25,0.0007345142187988769,8.282865205375902e-13,8.073031597050028e-15
